"时间","天然海水产品","海洋飞沫"
"1600","0","4.333083333333334"
"1601","0","4.333083333333334"
"1602","0","4.333083333333334"
"1603","0","4.333083333333334"
"1604","0","4.333083333333334"
"1605","0","4.333083333333334"
"1606","0","4.333083333333334"
"1607","0","4.333083333333334"
"1608","0","4.333083333333334"
"1609","0","4.333083333333334"
"1610","0","4.333083333333334"
"1611","0","4.333083333333334"
"1612","0","4.333083333333334"
"1613","0","4.333083333333334"
"1614","0","4.333083333333334"
"1615","0","4.333083333333334"
"1616","0","4.333083333333334"
"1617","0","4.333083333333334"
"1618","0","4.333083333333334"
"1619","0","4.333083333333334"
"1620","0","4.333083333333334"
"1621","0","4.333083333333334"
"1622","0","4.333083333333334"
"1623","0","4.333083333333334"
"1624","0","4.333083333333334"
"1625","0","4.333083333333334"
"1626","0","4.333083333333334"
"1627","0","4.333083333333334"
"1628","0","4.333083333333334"
"1629","0","4.333083333333334"
"1630","0","4.333083333333334"
"1631","0","4.333083333333334"
"1632","0","4.333083333333334"
"1633","0","4.333083333333334"
"1634","0","4.333083333333334"
"1635","0","4.333083333333334"
"1636","0","4.333083333333334"
"1637","0","4.333083333333334"
"1638","0","4.333083333333334"
"1639","0","4.333083333333334"
"1640","0","4.333083333333334"
"1641","0","4.333083333333334"
"1642","0","4.333083333333334"
"1643","0","4.333083333333334"
"1644","0","4.333083333333334"
"1645","0","4.333083333333334"
"1646","0","4.333083333333334"
"1647","0","4.333083333333334"
"1648","0","4.333083333333334"
"1649","0","4.333083333333334"
"1650","0","4.333083333333334"
"1651","0","4.333083333333334"
"1652","0","4.333083333333334"
"1653","0","4.333083333333334"
"1654","0","4.333083333333334"
"1655","0","4.333083333333334"
"1656","0","4.333083333333334"
"1657","0","4.333083333333334"
"1658","0","4.333083333333334"
"1659","0","4.333083333333334"
"1660","0","4.333083333333334"
"1661","0","4.333083333333334"
"1662","0","4.333083333333334"
"1663","0","4.333083333333334"
"1664","0","4.333083333333334"
"1665","0","4.333083333333334"
"1666","0","4.333083333333334"
"1667","0","4.333083333333334"
"1668","0","4.333083333333334"
"1669","0","4.333083333333334"
"1670","0","4.333083333333334"
"1671","0","4.333083333333334"
"1672","0","4.333083333333334"
"1673","0","4.333083333333334"
"1674","0","4.333083333333334"
"1675","0","4.333083333333334"
"1676","0","4.333083333333334"
"1677","0","4.333083333333334"
"1678","0","4.333083333333334"
"1679","0","4.333083333333334"
"1680","0","4.333083333333334"
"1681","0","4.333083333333334"
"1682","0","4.333083333333334"
"1683","0","4.333083333333334"
"1684","0","4.333083333333334"
"1685","0","4.333083333333334"
"1686","0","4.333083333333334"
"1687","0","4.333083333333334"
"1688","0","4.333083333333334"
"1689","0","4.333083333333334"
"1690","0","4.333083333333334"
"1691","0","4.333083333333334"
"1692","0","4.333083333333334"
"1693","0","4.333083333333334"
"1694","0","4.333083333333334"
"1695","0","4.333083333333334"
"1696","0","4.333083333333334"
"1697","0","4.333083333333334"
"1698","0","4.333083333333334"
"1699","0","4.333083333333334"
"1700","0","4.333083333333334"
"1701","0","4.333083333333334"
"1702","0","4.333083333333334"
"1703","0","4.333083333333334"
"1704","0","4.333083333333334"
"1705","0","4.333083333333334"
"1706","0","4.333083333333334"
"1707","0","4.333083333333334"
"1708","0","4.333083333333334"
"1709","0","4.333083333333334"
"1710","0","4.333083333333334"
"1711","0","4.333083333333334"
"1712","0","4.333083333333334"
"1713","0","4.333083333333334"
"1714","0","4.333083333333334"
"1715","0","4.333083333333334"
"1716","0","4.333083333333334"
"1717","0","4.333083333333334"
"1718","0","4.333083333333334"
"1719","0","4.333083333333334"
"1720","0","4.333083333333334"
"1721","0","4.333083333333334"
"1722","0","4.333083333333334"
"1723","0","4.333083333333334"
"1724","0","4.333083333333334"
